,id,brand,txt,buylink
124,28,glamb,🔸グラム　両膝パックリグランジデニム　★メルカリ出品中‼️,https://zozo.jp/brand/glamb/?p_keyv=%83f%83j%83%80%83p%83%93%83c&p_cocid=8&kid=423298309&t=w&utm_source=wear&utm_medium=pc&utm_campaign=relsnap_23298309
125,28,VINTAGE,🔸90s コンバース　カート着用ジャックパーセル(黒) ★メルカリ出品中‼️,https://zozo.jp/search/?p_keyv=%83X%83j%81%5B%83J%81%5B&p_cocid=2&kid=423298309&t=w&utm_source=wear&utm_medium=pc&utm_campaign=relsnap_23298309
126,28,VINTAGE,🔸エイチティーシー　ウォレットチェーン49cm(シルバー) ★メルカリ出品中‼️,https://zozo.jp/search/?p_keyv=%83E%83H%83%8C%83b%83g%83%60%83F%81%5B%83%93&p_cocid=14&kid=423298309&t=w&utm_source=wear&utm_medium=pc&utm_campaign=relsnap_23298309
127,28,🔶紛失してしまったお気に入り😓,🔸カートが死んだ時に付けていたトムピーターソンの時計　★カート着同モデル,https://zozo.jp/search/?p_keyv=%83A%83i%83%8D%83O%98r%8E%9E%8Cv&p_cocid=2&kid=423298309&t=w&utm_source=wear&utm_medium=pc&utm_campaign=relsnap_23298309
128,29,VINTAGE,🔸オールドギャップ チェックシャツ 茶 XL メルカリ出品中🙋‍♂️,https://zozo.jp/search/?p_keyv=%83V%83%83%83c%2F%83u%83%89%83E%83X&p_cocid=5&kid=423239925&t=w&utm_source=wear&utm_medium=pc&utm_campaign=relsnap_23239925
129,29,VINTAGE,🔸カート追悼Tシャツ(白)XL ★メルカリにて多数出品中‼️,https://zozo.jp/search/?p_keyv=T%83V%83%83%83c%2F%83J%83b%83g%83%5C%81%5B&p_cocid=1&kid=423239925&t=w&utm_source=wear&utm_medium=pc&utm_campaign=relsnap_23239925
130,29,GRAMICCI ,🔸グラミチ クライミングカーゴショーツ ケロ色🐸 XL,https://zozo.jp/brand/gramicci/?p_keyv=%83%60%83m%83p%83%93%83c&p_cocid=7&kid=423239925&t=w&utm_source=wear&utm_medium=pc&utm_campaign=relsnap_23239925
131,29,N.HOOLYWOOD×converse,🔸2005年 エヌハリ×コンバース×野口強 オールスター レトロ MH HI 黒 11.5(30cm),https://zozo.jp/search/?p_keyv=%83X%83j%81%5B%83J%81%5B&p_cocid=2&kid=423239925&t=w&utm_source=wear&utm_medium=pc&utm_campaign=relsnap_23239925
132,29,🔸2日間かけてピッカピカに👟✨,🔸スニーカー愛❤️ 汚れとアジって全く違うんだよね🤔,https://zozo.jp/search/?p_keyv=%83X%83j%81%5B%83J%81%5B&p_cocid=2&kid=423239925&t=w&utm_source=wear&utm_medium=pc&utm_campaign=relsnap_23239925
133,30,NUMBER (N)INE,🔸カートオーバルサングラス(白)😎✨ (上)ナンバーナイン(下)エフェクター🕶,https://zozo.jp/brand/numbernine/?p_keyv=%83T%83%93%83O%83%89%83X&p_cocid=1&kid=423256683&t=w&utm_source=wear&utm_medium=pc&utm_campaign=relsnap_23256683
